,order_id,customers,city,state,order_date,total_units,revenue,product_name,category_name,brand_name,store_name,sales_rep
0,1,Johnathan Velazquez,Pleasanton,CA,2016-01-01,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya Copeland
1,1,Johnathan Velazquez,Pleasanton,CA,2016-01-01,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya Copeland
2,1,Johnathan Velazquez,Pleasanton,CA,2016-01-01,2,3098.0,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya Copeland
3,1,Johnathan Velazquez,Pleasanton,CA,2016-01-01,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
4,1,Johnathan Velazquez,Pleasanton,CA,2016-01-01,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
5,2,Jaqueline Cummings,Huntington Station,NY,2016-01-01,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
6,2,Jaqueline Cummings,Huntington Station,NY,2016-01-01,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
7,3,Joshua Robertson,Patchogue,NY,2016-02-01,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
8,3,Joshua Robertson,Patchogue,NY,2016-02-01,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Venita Daniel
9,4,Nova Hess,Duarte,CA,2016-03-01,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,Santa Cruz Bikes,Genna Serrano
10,5,Arla Ellis,Utica,NY,2016-03-01,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
11,5,Arla Ellis,Utica,NY,2016-03-01,1,429.0,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
12,5,Arla Ellis,Utica,NY,2016-03-01,2,3098.0,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes,Marcelene Boyer
13,6,Sharyn Hopkins,Baldwinsville,NY,2016-04-01,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
14,6,Sharyn Hopkins,Baldwinsville,NY,2016-04-01,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
15,6,Sharyn Hopkins,Baldwinsville,NY,2016-04-01,1,449.0,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
16,6,Sharyn Hopkins,Baldwinsville,NY,2016-04-01,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene Boyer
17,6,Sharyn Hopkins,Baldwinsville,NY,2016-04-01,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Trek,Baldwin Bikes,Marcelene Boyer
18,7,Laureen Paul,Bellmore,NY,2016-04-01,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
19,7,Laureen Paul,Bellmore,NY,2016-04-01,2,858.0,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
20,7,Laureen Paul,Bellmore,NY,2016-04-01,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene Boyer
21,8,Leslie Higgins,Saratoga Springs,NY,2016-04-01,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita Daniel
22,8,Leslie Higgins,Saratoga Springs,NY,2016-04-01,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
23,9,Neil Mccall,San Carlos,CA,2016-05-01,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
24,10,Alane Munoz,Yonkers,NY,2016-05-01,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
25,11,Tarra Guerrero,Auburn,NY,2016-05-01,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita Daniel
26,11,Tarra Guerrero,Auburn,NY,2016-05-01,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
27,11,Tarra Guerrero,Auburn,NY,2016-05-01,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Baldwin Bikes,Venita Daniel
28,12,Marvin Mullins,San Diego,CA,2016-06-01,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya Copeland
29,12,Marvin Mullins,San Diego,CA,2016-06-01,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya Copeland
30,13,Patience Clayton,Niagara Falls,NY,2016-08-01,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
31,13,Patience Clayton,Niagara Falls,NY,2016-08-01,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
32,13,Patience Clayton,Niagara Falls,NY,2016-08-01,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene Boyer
33,13,Patience Clayton,Niagara Falls,NY,2016-08-01,2,858.0,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene Boyer
34,14,Maribel William,Torrance,CA,2016-09-01,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,Santa Cruz Bikes,Genna Serrano
35,15,Ellsworth Michael,Carmel,NY,2016-09-01,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita Daniel
36,15,Ellsworth Michael,Carmel,NY,2016-09-01,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita Daniel
